Genre,Original_Language,Release_Date,Vote_Average,Overview,Title
"Thriller, Drama",en,2013-10-13,6.5,ability;case;the,Anna
"Drama, Thriller",fr,2013-02-17,5.7,"agent,;with;Russian",Möbius
"Animation, Action, Fantasy, Science Fiction",ja,2011-10-25,6.0,a;wake;boy,Towa no Quon 6: Eternal Quon
"Comedy, Fantasy",en,2017-08-27,5.2,mysterious;he's;After,The Sex Trip
"Comedy, Crime",en,1955-12-08,7.2,a;musicians.;widow,The Ladykillers
"Comedy, Romance",en,2004-09-13,6.2,position;it;on,Wimbledon
"History, Horror",en,2018-10-26,5.7,and;lies;from,The Convent
Drama,it,2017-09-18,7.2,"continues.;silent;blindness,",The Music of Silence
Drama,es,2016-09-29,4.8,time;not;of,Los Modernos
"Comedy, Romance, Music",ru,1967-04-01,8.0,of;local;the,"Kidnapping, Caucasian Style"
"Drama, Family, Romance",en,2006-10-10,5.5,to;choreography;Sara's,Save the Last Dance 2
"Action, Comedy, Crime",ko,2019-01-23,7.1,the;chicken.;delicious,Extreme Job
"TV Movie, Drama, History",en,2021-05-29,6.8,Norwegian;to;the,Oslo
"Animation, Comedy",en,2002-10-21,6.8,collection;things;start,Gone Nutty
"Drama, Romance, Adventure, Action",en,2006-04-07,6.7,between;Britain's;line,Tristan & Isolde
"Animation, Action, Science Fiction",ja,2004-04-17,6.7,new;plucked;end,Appleseed
"Comedy, Western",en,1969-03-26,7.0,the;pistol;know,Support Your Local Sheriff!
"Thriller, Mystery",en,2018-02-16,4.7,"save;mouse,;the",Looking Glass
"Horror, Action, Thriller",en,2012-05-29,4.0,"from;aware,;pieces.",Abraham Lincoln vs. Zombies
"Thriller, Horror",en,2014-08-27,4.9,daughter;to;family,Out of the Dark
"Drama, Romance",fr,1973-11-01,5.9,set;being;it.,Immoral Tales
"Horror, Thriller",en,1996-10-25,5.9,the;to;himself,Thinner
"Drama, History",en,1964-03-11,7.2,to;he;provides,Becket
"Science Fiction, Romance",en,1984-12-13,6.8,"Wisconsin;asks;Arizona,",Starman
